org.clever.Common.XMPPCommunicator.ConnectionXMPP: connect 2014-03-24 11:40:00,942 [main] INFO  XMPPCommunicator {146}- XMPP connected plain mode
org.clever.Common.XMPPCommunicator.ConnectionXMPP: authenticate 2014-03-24 11:40:01,572 [main] DEBUG XMPPCommunicator {319}- XMPP connection established with username: hmricky password: hmricky server: riccardo port: 5222resource-598897373
org.clever.Common.XMPPCommunicator.ConnectionXMPP: joinInRoom 2014-03-24 11:40:01,583 [main] INFO  XMPPCommunicator {250}- Creating room: room@conference.riccardo with nickname: hmricky
org.clever.Common.XMPPCommunicator.ConnectionXMPP: joinInRoom 2014-03-24 11:40:01,594 [main] INFO  XMPPCommunicator {256}- Created room: room@conference.riccardo with nickname: hmricky
org.clever.Common.Initiator.Initiator: start 2014-03-24 11:40:01,598 [main] INFO  Initiator {316}- Lancio processo Initiator, pid: 3189@riccardo
org.clever.Common.Initiator.Initiator: launchHostCoordinator 2014-03-24 11:40:01,598 [main] INFO  Initiator {260}- Lancio host coordinator
org.clever.HostManager.HostCoordinator.HostCoordinator: init 2014-03-24 11:40:01,605 [main] DEBUG HostCoordinatorHM {87}- CLASSPATH= /home/riccardo/NetBeansProjects/clever-unime/trunk/clevercloud/../clever-occi-plugins//lib/commons-codec-1.8.jar:/home/riccardo/NetBeansProjects/clever-unime/trunk/clevercloud/../clever-occi-plugins//lib/commons-io-2.4.jar:/home/riccardo/NetBeansProjects/clever-unime/trunk/clevercloud/../clever-occi-plugins//lib/commons-logging-1.1.1.jar:/home/riccardo/NetBeansProjects/clever-unime/trunk/clevercloud/../clever-occi-plugins//lib/gson-2.2.4.jar:/home/riccardo/NetBeansProjects/clever-unime/trunk/clevercloud/../clever-occi-plugins//lib/jdom.jar:/home/riccardo/NetBeansProjects/clever-unime/trunk/clevercloud/../clever-occi-plugins//lib/log4j.jar:dist/clever.jar:/home/riccardo/NetBeansProjects/clever-unime/trunk/clevercloud/../clever-occi-plugins//dist/clever-occi-plugins.jar
org.clever.HostManager.HostCoordinator.HostCoordinator: init 2014-03-24 11:40:01,611 [main] DEBUG HostCoordinatorHM {120}- ./libraries:/usr/java/packages/lib/i386:/lib:/usr/lib:./libraries
org.clever.HostManager.HostCoordinator.HostCoordinator: init 2014-03-24 11:40:01,612 [main] INFO  HostCoordinatorHM {122}- Initiator created
org.clever.HostManager.HostCoordinator.HostCoordinator: init 2014-03-24 11:40:01,612 [main] INFO  HostCoordinatorHM {132}- 

 valori nuovi caricati: 4 10
org.clever.Common.Communicator.Agent: <init> 2014-03-24 11:40:01,618 [main] DEBUG org.clever.HostManager.Dispatcher.DispatcherAgent {83}- start Agent constructor
org.clever.Common.LoggingPlugins.Log4J.Log4J: <init> 2014-03-24 11:40:01,627 [main] INFO  LoggingAgent {76}- LoggingAgent plugin inizializzato:  
org.clever.Common.LoggingPlugins.Log4J.Log4J: creaDir 2014-03-24 11:40:01,631 [main] DEBUG LoggingAgent {599}- Ho creato: /home/riccardo/NetBeansProjects/clever-unime/trunk/clevercloud/LOGS/HostManager/DispatcherAgentHm
org.clever.Common.Communicator.Agent: start 2014-03-24 11:40:01,688 [main] DEBUG org.clever.HostManager.Dispatcher.DispatcherAgent {291}- 
istanzio ModuleCommunicator(agentName), dove agentName: DispatcherAgentHm
org.clever.Common.CommunicatorPlugins.Dbus.CommunicatorDbus: init 2014-03-24 11:40:01,695 [main] INFO  DbusCommunicationPlugin {62}- Initializing the Dbus Communication plugin 
org.clever.Common.CommunicatorPlugins.Dbus.CommunicatorDbus: init 2014-03-24 11:40:01,844 [main] INFO  DbusCommunicationPlugin {65}- Creating the connection to the SessionBus 
org.clever.Common.CommunicatorPlugins.Dbus.CommunicatorDbus: init 2014-03-24 11:40:01,847 [main] DEBUG DbusCommunicationPlugin {71}- Creating the Service on Dbus org.clever.Common.CommunicatorPlugins.DispatcherAgentHmHM
org.clever.Common.CommunicatorPlugins.Dbus.CommunicatorDbus: init 2014-03-24 11:40:01,848 [main] DEBUG DbusCommunicationPlugin {74}- Creating the Object on Dbus /org/clever/Common/CommunicatorPlugins/Dbus/CleverDbusInterface/DispatcherAgentHm
org.clever.Common.XMPPCommunicator.ConnectionXMPP: getHostName 2014-03-24 11:40:01,851 [main] DEBUG XMPPCommunicator {478}- Host name: riccardo
org.clever.HostManager.Dispatcher.DispatcherAgent: sendNotification 2014-03-24 11:40:01,853 [main] DEBUG org.clever.HostManager.Dispatcher.DispatcherAgent {166}- preparing notify clever message
